timestamp,open,high,low,close,sma_5,sma_10,ema_5,ema_10
2025-08-01 00:17:00,115598.0,115629.37,115598.0,115629.37,,,115629.37,115629.37
2025-08-01 00:18:00,115704.72,115757.89,115704.72,115718.01,,,115658.91666666667,115645.48636363636
2025-08-01 01:13:00,114800.0,114800.0,114774.1,114795.6,,,115371.14444444445,115490.96157024792
2025-08-01 01:14:00,114770.4,114770.4,114645.95,114655.7,,,115132.66296296298,115339.09583020283
2025-08-01 01:15:00,114730.0,114826.7,114724.24,114795.73,115118.88200000001,,115020.35197530866,115240.30204289322
2025-08-01 01:16:00,114796.76,114943.99,114764.0,114879.85,114968.978,,114973.51798353912,115174.76530782171
2025-08-01 01:17:00,114848.0,114859.11,114775.14,114775.14,114780.40400000001,,114907.39198902607,115102.10616094503
2025-08-01 01:18:00,114780.0,114919.99,114732.0,114919.99,114805.282,,114911.59132601738,115068.9941316823
2025-08-01 01:19:00,114890.68,114982.0,114869.42,114869.42,114848.026,,114897.53421734492,115032.70792592187
2025-08-01 01:20:00,114917.21,115145.34,114917.21,115145.34,114917.948,115018.415,114980.13614489662,115053.18648484515
2025-08-01 01:21:00,115056.49,115139.51,114980.01,115139.51,114969.88,114969.429,115033.2607632644,115068.88166941876
2025-08-01 01:22:00,115093.15,115093.15,115016.62,115042.54,115023.35999999999,114901.88200000001,115036.35384217626,115064.09227497898
2025-08-01 01:23:00,115067.09,115067.09,114941.42,115018.67,115043.09599999999,114924.18899999998,115030.45922811751,115055.83367952825
2025-08-01 01:24:00,115091.42,115190.41,115091.42,115190.41,115107.294,114977.66,115083.77615207835,115080.3021014322
2025-08-01 01:25:00,115120.22,115201.77,115120.22,115201.77,115118.58,115018.264,115123.10743471891,115102.38717389907
2025-08-01 01:26:00,115171.9,115171.9,115120.01,115121.99,115115.076,115042.478,115122.73495647928,115105.95132409924
2025-08-01 01:27:00,115156.01,115222.95,115156.01,115193.99,115145.366,115084.36299999998,115146.48663765285,115121.95835608119
2025-08-01 01:28:00,115229.93,115266.25,115229.93,115261.19,115193.87,115118.48300000001,115184.72109176857,115147.27320043006
2025-08-01 01:29:00,115230.96,115230.96,115190.01,115190.37,115193.86200000001,115150.57800000001,115186.60406117905,115155.10898217006
2025-08-01 01:30:00,115218.71,115218.71,115057.26,115057.26,115164.96,115141.76999999999,115143.48937411938,115137.31825813913
2025-08-01 01:31:00,115040.0,115101.79,115011.46,115101.79,115160.92,115137.99799999999,115129.58958274627,115130.85857484111
2025-08-01 01:32:00,115166.41,115166.41,115107.6,115107.6,115143.64199999999,115144.504,115122.25972183085,115126.6297430518
2025-08-01 01:33:00,115078.05,115117.36,115078.05,115117.36,115114.876,115154.37299999999,115120.62648122056,115124.9443352242
2025-08-01 01:34:00,115120.0,115181.15,115120.0,115181.15,115113.03199999998,115153.447,115140.80098748038,115135.1635470016
2025-08-01 01:35:00,115188.83,115227.62,115114.0,115227.62,115147.104,115156.03199999998,115169.74065832027,115151.97381118312
2025-08-01 01:36:00,115235.97,115360.52,115235.97,115360.52,115198.85,115179.88499999998,115233.33377221352,115189.89130005891
2025-08-01 01:37:00,115388.01,115400.0,115337.44,115337.44,115244.818,115194.23000000001,115268.03584814235,115216.71833641182
2025-08-01 01:38:00,115291.77,115291.8,115227.1,115272.0,115275.746,115195.31100000002,115269.3572320949,115226.76954797331
2025-08-01 01:39:00,115318.48,115318.48,115150.55,115150.55,115269.626,115191.329,115229.75482139661,115212.9114483418
2025-08-01 01:40:00,115200.0,115258.3,115200.0,115247.75,115273.652,115210.378,115235.7532142644,115219.24573046147
2025-08-01 01:41:00,115207.23,115251.9,115190.0,115251.9,115251.928,115225.389,115241.13547617628,115225.18287037755
2025-08-01 01:42:00,115276.0,115333.71,115268.81,115333.71,115251.182,115248.0,115271.99365078419,115244.91507576345
2025-08-01 01:43:00,115314.24,115314.24,115245.27,115290.4,115254.86200000001,115265.304,115278.1291005228,115253.18506198828
2025-08-01 01:44:00,115333.27,115333.27,115296.45,115296.45,115284.04199999999,115276.834,115284.2360670152,115261.05141435403
2025-08-01 01:45:00,115309.07,115316.07,115280.43,115316.07,115297.706,115285.679,115294.84737801015,115271.05479356239
2025-08-01 01:46:00,115309.77,115309.77,115253.27,115253.27,115297.98000000001,115274.954,115280.98825200678,115267.82119473285
2025-08-01 01:47:00,115250.01,115250.01,115171.2,115187.3,115268.698,115259.94000000002,115249.75883467119,115253.18097750869
2025-08-01 01:48:00,115186.34,115220.0,115126.7,115126.7,115235.95800000001,115245.41,115208.73922311413,115230.18443614346
2025-08-01 01:49:00,115080.99,115128.0,115078.0,115128.0,115202.26800000001,115243.155,115181.82614874277,115211.60544775373
2025-08-01 01:50:00,115176.28,115176.28,115060.11,115060.11,115151.076,115224.39099999999,115141.25409916184,115184.06082088941
2025-08-01 01:51:00,115161.65,115258.3,115157.71,115258.3,115152.08200000001,115225.031,115180.26939944124,115197.55885345498
2025-08-01 01:52:00,115203.12,115237.64,115193.0,115226.37,115159.896,115214.29699999999,115195.63626629417,115202.79724373587
2025-08-01 01:53:00,115252.63,115397.38,115252.63,115397.38,115214.032,115224.995,115262.88417752946,115238.17592669299
2025-08-01 01:54:00,115396.86,115396.86,115322.59,115356.96,115259.824,115231.046,115294.24278501965,115259.77303093064
2025-08-01 01:55:00,115347.28,115347.28,115274.55,115311.53,115310.10800000001,115230.59199999999,115300.00519001311,115269.18338894325
